arm,doc_id,field,truth_present,truth_value,predicted_value,abstained,emitted,confidence,grounded,requires_normalisation,strict_correct,canonical_correct,span_exact,span_iou,n_iters,reason,seed
heuristic,1500,invoice_id,True,IN-98674,IN-98674,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1500,invoice_date,True,2023-05-03,03/05/2023,False,True,1.0,True,True,False,True,True,1.0,0,,0
heuristic,1500,due_date,True,2023-07-02,2023-07-02,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1500,vendor_name,True,Eastbrook Instruments,,True,False,,False,False,False,False,False,,0,no_candidate,0
heuristic,1500,po_number,True,PO-04669,PO-04669,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1500,subtotal,True,"$29,619.50","$29,619.50",False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1500,tax,True,"$1,480.98","$1,480.98",False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1500,total,True,"$31,100.48","$31,100.48",False,True,0.5454545454545455,True,False,True,True,True,1.0,0,,0
heuristic,1501,invoice_id,True,IN-45102,IN-45102,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1501,invoice_date,True,2024-12-06,2024-12-06,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1501,due_date,True,2025-01-05,2025-01-05,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1501,vendor_name,True,Juniper Materials PLC,,True,False,,False,False,False,False,False,,0,no_candidate,0
heuristic,1501,po_number,True,ORD-33267,ORD-33267,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1501,subtotal,True,"$16,615.09","$16,615.09",False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1501,tax,True,$830.75,$830.75,False,True,0.3333333333333333,True,False,True,True,True,1.0,1,,0
heuristic,1501,total,True,"$17,445.84","$17,445.84",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1502,invoice_id,True,DOC-99773,DOC-99773,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1502,invoice_date,True,2024-09-24,24/09/2024,False,True,1.0,True,True,False,True,True,1.0,0,,0
heuristic,1502,due_date,True,2024-10-24,24/10/2024,False,True,1.0,True,True,False,True,True,1.0,0,,0
heuristic,1502,vendor_name,True,Kestrel Fabrication LLC,,True,False,,False,False,False,False,False,,0,no_candidate,0
heuristic,1502,po_number,True,ORD-48964,ORD-48964,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1502,subtotal,True,"EUR 23,163.39","EUR 23,163.39",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1502,tax,True,"EUR 4,632.68","EUR 4,632.68",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1502,total,True,"EUR 27,796.07","EUR 27,796.07",False,True,0.48,True,False,True,True,True,1.0,0,,0
heuristic,1503,invoice_id,True,IN-70269,IN-70269,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1503,invoice_date,True,2024-02-06,2024-02-06,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1503,due_date,True,2024-03-07,2024-03-07,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1503,vendor_name,True,Corvus Instruments LLC,,True,False,,False,False,False,False,False,,0,no_candidate,0
heuristic,1503,po_number,False,,,True,False,,False,False,True,True,False,,0,no_candidate,0
heuristic,1503,subtotal,False,,,True,False,,False,False,True,True,False,,0,no_candidate,0
heuristic,1503,tax,True,"EUR 2,911.13","EUR 2,911.13",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1503,total,True,"EUR 32,022.39","EUR 32,022.39",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1504,invoice_id,True,DOC-83517,DOC-83517,False,True,0.5454545454545455,True,False,True,True,True,1.0,0,,0
heuristic,1504,invoice_date,True,2023-09-21,2023-09-21,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1504,due_date,True,2023-10-05,2023-10-05,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1504,vendor_name,True,Granite Instruments Co,,True,False,,False,False,False,False,False,,0,no_candidate,0
heuristic,1504,po_number,False,,,True,False,,False,False,True,True,False,,0,no_candidate,0
heuristic,1504,subtotal,True,"EUR 19,633.54","EUR 19,633.54",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1504,tax,True,"EUR 1,963.35","EUR 1,963.35",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1504,total,True,"EUR 21,596.89","EUR 21,596.89",False,True,0.43795620437956206,True,False,True,True,True,1.0,0,,0
heuristic,1505,invoice_id,True,DOC-58869,DOC-58869,False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1505,invoice_date,True,2025-01-20,2025-01-20,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1505,due_date,True,2025-03-06,2025-03-06,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1505,vendor_name,True,Corvus Trading LLC,,True,False,,False,False,False,False,False,,0,no_candidate,0
heuristic,1505,po_number,False,,,True,False,,False,False,True,True,False,,0,no_candidate,0
heuristic,1505,subtotal,True,"EUR 33,488.67","EUR 33,488.67",False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1505,tax,False,,,True,False,,False,False,True,True,False,,0,no_candidate,0
heuristic,1505,total,True,"EUR 35,163.10","EUR 33,488.67",False,True,0.43795620437956206,True,False,False,False,False,0.10246648372205873,0,,0
heuristic,1506,invoice_id,True,IN-36793,IN-36793,False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1506,invoice_date,True,2023-09-29,2023-09-29,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1506,due_date,True,2023-11-28,28th of November 2023,False,True,1.0,True,True,False,True,True,1.0,0,,0
heuristic,1506,vendor_name,True,Halcyon Fabrication PLC,PLC,False,True,1.0,True,False,False,False,False,0.06313284621638152,0,,0
heuristic,1506,po_number,True,ORD-86126,ORD-86126,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1506,subtotal,True,"$22,567.21",,True,False,1.0,False,False,False,False,False,,0,arithmetic_failed,0
heuristic,1506,tax,True,"$4,513.44",,True,False,1.0,False,False,False,False,False,,0,arithmetic_failed,0
heuristic,1506,total,True,"$27,080.65",,True,False,1.0,False,False,False,False,False,,0,arithmetic_failed,0
heuristic,1507,invoice_id,True,IN-29513,IN-29513,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1507,invoice_date,True,2023-12-22,"Dec 22, 2023",False,True,1.0,True,True,False,True,True,1.0,0,,0
heuristic,1507,due_date,True,2024-02-05,2024-02-05,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1507,vendor_name,True,Umberton Supply SA,,True,False,,False,False,False,False,False,,0,no_candidate,0
heuristic,1507,po_number,False,,,True,False,,False,False,True,True,False,,0,no_candidate,0
heuristic,1507,subtotal,True,GBP 16651.35,GBP 16651.35,False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1507,tax,True,GBP 832.57,GBP 832.57,False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1507,total,True,GBP 17483.92,GBP 17483.92,False,True,0.145985401459854,True,False,True,True,True,1.0,2,,0
heuristic,1508,invoice_id,True,INV-15499,INV-15499,False,True,0.6666666666666666,True,False,True,True,True,1.0,0,,0
heuristic,1508,invoice_date,True,2023-08-08,2023-08-08,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1508,due_date,True,2023-09-07,2023-09-07,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1508,vendor_name,True,Umberton Logistics PLC,,True,False,,False,False,False,False,False,,0,no_candidate,0
heuristic,1508,po_number,True,ORD-47078,ORD-47078,False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1508,subtotal,True,"17,170.80","17,170.80",False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1508,tax,True,"1,717.08","1,717.08",False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1508,total,True,"18,887.88","18,887.88",False,True,1.0,True,False,True,True,True,1.0,0,,0
heuristic,1509,invoice_id,True,DOC-12771,DOC-12771,False,True,0.5454545454545455,True,False,True,True,True,1.0,0,,0
heuristic,1509,invoice_date,True,2023-10-15,15/10/2023,False,True,1.0,True,True,False,True,True,1.0,0,,0
heuristic,1509,due_date,True,2023-11-05,5th of November 2023,False,True,1.0,True,True,False,True,True,1.0,0,,0
