arm,n_records,strict_accuracy,n_strict_accuracy,canonical_accuracy,n_canonical_accuracy,coverage,hallucination_rate,n_emitted,precision,n_precision,recall,n_recall,f1,anls,n_anls,absent_abstain_rate,n_absent,present_emit_rate,strict_accuracy_needs_norm,n_needs_norm,canonical_accuracy_needs_norm,strict_accuracy_verbatim,n_verbatim,mean_verify_iters,grounding_exact,n_grounding_exact,grounding_iou,n_grounding_iou,grounding_token_iou,n_grounding_token_iou,provenance_claim_rate,n_claimable,ece,ace,mce,brier,nll,aurc,error_auroc,mean_confidence,n_calibration,verify_iters_per_doc,verify_reselections_per_doc,verify_arith_checked_frac,verify_arith_ok_frac,eval_seconds,seed,ablation,kind,switch,train_seconds,n_params,wall_seconds
model:full,3200.0,0.8825,3200.0,0.94875,3200.0,0.8640625,0.0,2765.0,0.9877034358047015,2765.0,0.9462924462924462,2886.0,0.9665545921075916,0.8763993283224052,2886.0,0.9713375796178344,314.0,0.954954954954955,0.0,211.0,0.995260663507109,0.9416822429906542,2675.0,0.0709375,0.9909288824383164,2756.0,0.9910627147334182,2756.0,0.9909288824383164,2756.0,0.954954954954955,2886.0,0.0692915455540087,0.0692915455540086,0.4337848594726571,0.0361831036001443,0.1261957935175114,0.0013772900974372,0.9057552717168889,0.918411890250693,2765.0,0.625,0.5125,0.865,0.8526011560693642,1.8633549999794925,0,full,training,none,195.82942889997503,108892.0,1.8649542999919504
model:full,3200.0,0.8846875,3200.0,0.9490625,3200.0,0.8759375,0.0,2803.0,0.987513378523011,2803.0,0.9498970487302676,2914.0,0.9683400384817212,0.8814878364981317,2914.0,0.9405594405594404,286.0,0.9560741249142072,0.0,214.0,0.9626168224299064,0.9488888888888888,2700.0,0.0703125,0.9935391241923904,2786.0,0.993590183590563,2786.0,0.9935391241923904,2786.0,0.9560741249142072,2914.0,0.0729775689847971,0.0729775689847972,0.4408814026261564,0.0371166911033625,0.1298401388930921,0.0023113013961494,0.8511560693641619,0.914535809538214,2803.0,0.6075,0.49,0.925,0.8702702702702703,1.2417857999680564,1,full,training,none,230.0071359000285,108892.0,1.243032000027597
model:full,3200.0,0.8990625,3200.0,0.9659375,3200.0,0.8915625,0.0,2853.0,0.9894847528916929,2853.0,0.9667808219178082,2920.0,0.9780010393209769,0.8975564922140266,2920.0,0.9571428571428572,280.0,0.9729452054794521,0.0,215.0,0.9813953488372092,0.9645101663585952,2705.0,0.0525,0.9936642027455121,2841.0,0.9938029673935358,2841.0,0.9936642027455121,2841.0,0.9729452054794521,2920.0,0.07558518425134504,0.0755851842513451,0.4836971408116039,0.03887310743639362,0.1351132923043126,0.0017739565618467704,0.8593930806470658,0.9138995686403478,2853.0,0.45,0.3925,0.8675,0.9106628242074928,4.828686700027902,2,full,training,none,377.4588737000013,108892.0,4.830832700012252
model:no_2d_pos,3200.0,0.8578125,3200.0,0.9196875,3200.0,0.8778125,0.0,2809.0,0.9512281950872196,2809.0,0.925848925848926,2886.0,0.9383669885864796,0.8715535061688908,2886.0,0.8630573248407644,314.0,0.9584199584199584,0.0,211.0,0.924170616113744,0.924859813084112,2675.0,0.084375,0.9660159074475776,2766.0,0.9664687540404772,2766.0,0.9660159074475776,2766.0,0.9584199584199584,2886.0,0.1506955857160238,0.1507731263299335,0.5440923107217905,0.1022310613871703,0.3080842076569101,0.0129409413292314,0.8030317103020237,0.8005326093711959,2809.0,0.7075,0.65,0.825,0.8727272727272727,9.26231140003074,0,no_2d_pos,training,use_2d_pos=False,161.44763810001314,103708.0,263.7399036000133
model:no_2d_pos,3200.0,0.8640625,3200.0,0.9234375,3200.0,0.8646875,0.0,2767.0,0.9671123960968558,2767.0,0.9183253260123542,2914.0,0.9420876606231298,0.8659197700035036,2914.0,0.9755244755244756,286.0,0.9471516815374056,0.0,214.0,0.883177570093458,0.9207407407407407,2700.0,0.1334375,0.9695652173913044,2760.0,0.969978339684172,2760.0,0.9695652173913044,2760.0,0.9471516815374056,2914.0,0.1792393391234999,0.1792393391234998,0.6351382724456623,0.1122343495591307,0.3332780544078681,0.00928768121262,0.783615860970121,0.787873056973356,2767.0,1.115,1.015,0.91,0.8406593406593407,14.389685300004205,1,no_2d_pos,training,use_2d_pos=False,227.20494210004108,103708.0,345.0319975000457
model:no_2d_pos,3200.0,0.8803125,3200.0,0.9446875,3200.0,0.8921875,0.0,2855.0,0.9712784588441331,2855.0,0.9496575342465754,2920.0,0.9603463203463204,0.8887813328224287,2920.0,0.8928571428571429,280.0,0.9674657534246576,0.0,215.0,0.9395348837209302,0.9489833641404806,2705.0,0.07125,0.9815929203539823,2825.0,0.9818627413954412,2825.0,0.9815929203539823,2825.0,0.9674657534246576,2920.0,0.12795620326347484,0.12795620326347476,0.5433335244391844,0.07526297989800546,0.23817282884111876,0.006808867123698637,0.8177768200328956,0.8433222555806583,2855.0,0.5925,0.52,0.885,0.8870056497175142,18.45761909999419,2,no_2d_pos,training,use_2d_pos=False,226.80441729997983,103708.0,604.5436325999908
model:no_spatial_bias,3200.0,0.8340625,3200.0,0.8984375,3200.0,0.825625,0.0,2642.0,0.9769114307342922,2642.0,0.8943173943173943,2886.0,0.9337916063675832,0.828985790524252,2886.0,0.9363057324840764,314.0,0.9085239085239084,0.0,211.0,0.976303317535545,0.8878504672897196,2675.0,0.168125,0.9843630816170862,2622.0,0.9845003533246534,2622.0,0.9843630816170862,2622.0,0.9085239085239084,2886.0,0.1254380149114665,0.1254380149114665,0.6944003309175935,0.0845503202596822,0.2497686468691758,0.0037498768660021,0.8629327811688188,0.8514734158228257,2642.0,1.385,1.2975,0.875,0.7314285714285714,9.933266900014132,0,no_spatial_bias,training,use_spatial_bias=False,95.6160319999908,108560.0,172.06917610001983
model:no_spatial_bias,3200.0,0.854375,3200.0,0.91875,3200.0,0.8490625,0.0,2717.0,0.9834376150165623,2717.0,0.9169526424159232,2914.0,0.949032143491387,0.8494870035021028,2914.0,0.9370629370629372,286.0,0.9262182566918326,0.0,214.0,0.9626168224299064,0.9133333333333332,2700.0,0.150625,0.989996294924046,2699.0,0.9902113862174234,2699.0,0.989996294924046,2699.0,0.9262182566918326,2914.0,0.1197788626504708,0.1197788626504708,0.6499982668970273,0.074806977631158,0.2272474277302411,0.0026302233600586,0.8684298070525616,0.8636587523660915,2717.0,1.2575,1.15,0.94,0.7872340425531915,28.042037400009576,1,no_spatial_bias,training,use_spatial_bias=False,150.80601379997097,108560.0,314.4377088000183
model:no_spatial_bias,3200.0,0.8465625,3200.0,0.9115625,3200.0,0.8453125,0.0,2705.0,0.9804066543438078,2705.0,0.9082191780821918,2920.0,0.9429333333333334,0.8432048488041639,2920.0,0.9464285714285714,280.0,0.9212328767123288,0.0,215.0,0.9534883720930233,0.9035120147874307,2705.0,0.150625,0.9858736059479554,2690.0,0.9862610421390587,2690.0,0.9858736059479554,2690.0,0.9212328767123288,2920.0,0.12738588918103752,0.12874477389724773,0.6561411573823088,0.08277015001354734,0.25223533154422534,0.005155755103145016,0.8059848032101085,0.8530207651627703,2705.0,1.2375,1.1525,0.885,0.7627118644067796,8.981323199986946,2,no_spatial_bias,training,use_spatial_bias=False,166.37949090002803,108560.0,383.52359100000467
verify:conf_threshold_0.5,3200.0,0.859375,3200.0,0.9221875,3200.0,0.8396875,0.0,2687.0,0.9873464830666172,2687.0,0.9192654192654192,2886.0,0.9520904360308632,0.8522349272349273,2886.0,0.9490445859872612,314.0,0.9255024255024256,0.0,211.0,0.943127962085308,0.9166355140186916,2675.0,0.0503125,0.9932609509546986,2671.0,0.9933289859197986,2671.0,0.9932609509546986,2671.0,0.9255024255024256,2886.0,0.0450278431559962,0.0450278431559962,0.2657911761267435,0.0221466162621189,0.0900940523058921,0.0014972260247866,0.9006563047382541,0.9423186399106208,2687.0,0.4325,0.3475,0.67,0.8955223880597015,1.850150600017514,0,conf_threshold_0.5,inference,min_confidence=0.5,195.82942889997503,,
