arm,subset,n,strict_accuracy,canonical_accuracy,coverage,anls_proxy_exact
generative,needs_normalisation,211,0.0,0.0,1.0,0.0
generative_verify,needs_normalisation,211,0.0,0.0,0.004739336492890996,0.0
heuristic,needs_normalisation,211,0.0,0.933649289099526,0.981042654028436,0.0
llm_stub,needs_normalisation,211,0.7298578199052133,0.7298578199052133,0.7962085308056872,0.7298578199052133
span_only,needs_normalisation,211,0.0,0.957345971563981,1.0,0.0
span_verify,needs_normalisation,211,0.0,0.995260663507109,1.0,0.0
span_verify_norm,needs_normalisation,211,0.995260663507109,0.995260663507109,1.0,0.995260663507109
generative,verbatim,2675,0.0007476635514018691,0.0007476635514018691,0.9278504672897196,0.0007476635514018691
generative_verify,verbatim,2675,0.0007476635514018691,0.0007476635514018691,0.0011214953271028037,0.0007476635514018691
heuristic,verbatim,2675,0.7947663551401869,0.7981308411214953,0.8257943925233645,0.7947663551401869
llm_stub,verbatim,2675,0.7300934579439252,0.7300934579439252,0.8295327102803738,0.7300934579439252
span_only,verbatim,2675,0.9551401869158879,0.9555140186915888,0.9925233644859813,0.9551401869158879
span_verify,verbatim,2675,0.9416822429906542,0.942429906542056,0.9514018691588785,0.9416822429906542
span_verify_norm,verbatim,2675,0.9416822429906542,0.942429906542056,0.9514018691588785,0.9416822429906542
