arm,field,n,n_present,strict_accuracy,canonical_accuracy,coverage,grounding_exact
generative,invoice_id,400,400,0.0,0.0,1.0,0.0
generative,invoice_date,400,400,0.005,0.005,1.0,0.0
generative,due_date,400,346,0.0,0.0,1.0,0.0
generative,vendor_name,400,400,0.0,0.0,1.0,0.0
generative,po_number,400,227,0.3875,0.3875,0.135,0.0
generative,subtotal,400,362,0.0,0.0,0.9975,0.0
generative,tax,400,351,0.0025,0.0025,0.995,0.0
generative,total,400,400,0.0,0.0,1.0,0.0
heuristic,invoice_id,400,400,0.9775,0.9775,0.9775,0.9775
heuristic,invoice_date,400,400,0.585,0.8525,0.9875,0.8525
heuristic,due_date,400,346,0.735,0.96,0.825,0.953757225433526
heuristic,vendor_name,400,400,0.0,0.0,0.0425,0.0
heuristic,po_number,400,227,0.99,0.99,0.5575,0.9823788546255506
heuristic,subtotal,400,362,0.94,0.95,0.8625,0.9447513812154696
heuristic,tax,400,351,0.9275,0.9375,0.8275,0.9287749287749287
heuristic,total,400,400,0.945,0.9475,0.96,0.9475
span_verify,invoice_id,400,400,0.9975,0.9975,1.0,0.9975
span_verify,invoice_date,400,400,0.68,0.9775,0.995,0.9775
span_verify,due_date,400,346,0.7375,0.965,0.88,0.976878612716763
span_verify,vendor_name,400,400,1.0,1.0,1.0,1.0
span_verify,po_number,400,227,0.9875,0.9875,0.555,0.9779735682819384
span_verify,subtotal,400,362,0.895,0.895,0.825,0.8867403314917127
span_verify,tax,400,351,0.895,0.8975,0.785,0.8888888888888888
span_verify,total,400,400,0.8675,0.87,0.8725,0.87
