arm,n_records,strict_accuracy,n_strict_accuracy,canonical_accuracy,n_canonical_accuracy,coverage,hallucination_rate,n_emitted,precision,n_precision,recall,n_recall,f1,anls,n_anls,absent_abstain_rate,n_absent,present_emit_rate,strict_accuracy_needs_norm,n_needs_norm,canonical_accuracy_needs_norm,strict_accuracy_verbatim,n_verbatim,mean_verify_iters,grounding_exact,n_grounding_exact,grounding_iou,n_grounding_iou,grounding_token_iou,n_grounding_token_iou,provenance_claim_rate,n_claimable,ece,ace,mce,brier,nll,aurc,error_auroc,mean_confidence,n_calibration,verify_iters_per_doc,verify_reselections_per_doc,verify_arith_checked_frac,verify_arith_ok_frac,eval_seconds,seed,family,source,note,heuristic_variant,train_seconds,n_params,llm_tokens_per_doc
generative,3200.0,0.049375,3200.0,0.049375,3200.0,0.8909375,0.9985969835145564,2851.0,0.0007015082427218,2851.0,0.0006930006930006,2886.0,0.0006972285166463,0.2781961615255257,2886.0,0.4968152866242038,314.0,0.9331254331254332,0.0,211.0,0.0,0.0007476635514018,2675.0,0.0,,0.0,,0.0,,0.0,0.0,2886.0,0.4169654505152546,0.4169654505152546,0.5885847760350027,0.1920330448658372,0.568271814702841,0.9982855628917278,0.8459108459108459,0.4176669587579764,2851.0,0.0,0.0,0.0,,0.6838674999889918,0,reference,generative,"the reference approach: same encoder, character decoder",,605.8363532000221,201142.0,
generative,3200.0,0.05125,3200.0,0.05125,3200.0,0.874375,0.9992852037169406,2798.0,0.0003573981415296,2798.0,0.0003431708991077,2914.0,0.0003501400560224,0.2871495308108781,2914.0,0.5699300699300699,286.0,0.9179821551132464,0.0,214.0,0.0,0.0003703703703703,2700.0,0.0,,0.0,,0.0,,0.0,0.0,2914.0,0.4273142705302162,0.4273142705302161,0.6391725515111216,0.201999799532778,0.5898325741529373,0.999165078796456,0.7372184483375045,0.4276716686717458,2798.0,0.0,0.0,0.0,,1.309831499995198,1,reference,generative,"the reference approach: same encoder, character decoder",,590.8298849999555,201142.0,
generative,3200.0,0.0425,3200.0,0.0425,3200.0,0.8903125,0.9978939978939979,2849.0,0.001053001053001053,2849.0,0.0010273972602739725,2920.0,0.0010400416016640665,0.28329501423107395,2920.0,0.475,280.0,0.9253424657534246,0.004651162790697674,215.0,0.004651162790697674,0.0007393715341959334,2705.0,0.0,,0.0,,0.0,,0.0,0.0,2920.0,0.4282294933689046,0.4282294933689046,0.6544792730202359,0.20427636580466657,0.5947820729716313,0.9973382340555836,0.8044038416490982,0.42928249442190564,2849.0,0.0,0.0,0.0,,0.6689294000389054,2,reference,generative,"the reference approach: same encoder, character decoder",,1841.887853400025,201142.0,
generative_verify,3200.0,0.09875,3200.0,0.09875,3200.0,0.00125,0.0,4.0,0.5,4.0,0.0006930006930006,2886.0,0.0013840830449826,0.0012127512127512,2886.0,1.0,314.0,0.0013860013860013,0.0,211.0,0.0,0.0007476635514018,2675.0,0.8896875,,0.0,,0.0,,0.0,0.0,2886.0,0.066772519376325,0.4963283368409078,0.5665958391441911,0.2508183322521456,0.6947306164408359,0.2708333333333333,0.75,0.566772519376325,4.0,7.1175,0.0,0.0,,0.0912535000243224,0,baseline,generative,reference approach plus the same verification loop,,605.8363532000221,201142.0,
generative_verify,3200.0,0.0896875,3200.0,0.0896875,3200.0,0.000625,0.0,2.0,0.5,2.0,0.0003431708991077,2914.0,0.0006858710562414,0.0005833905284831,2914.0,1.0,286.0,0.0006863417982155,0.0,214.0,0.0,0.0003703703703703,2700.0,0.87375,,0.0,,0.0,,0.0,0.0,2914.0,0.0565766052732432,0.4954367854123414,0.5520133906855847,0.2486585206039588,0.690388554093148,0.125,1.0,0.5565766052732433,2.0,6.99,0.0,0.0,,0.1756002999609336,1,baseline,generative,reference approach plus the same verification loop,,590.8298849999555,201142.0,
generative_verify,3200.0,0.0884375,3200.0,0.0884375,3200.0,0.001875,0.0,6.0,0.5,6.0,0.0010273972602739725,2920.0,0.0020505809979494186,0.001815068493150685,2920.0,1.0,280.0,0.002054794520547945,0.004651162790697674,215.0,0.004651162790697674,0.0007393715341959334,2705.0,0.8884375,,0.0,,0.0,,0.0,0.0,2920.0,0.1900903620145237,0.4812968899107772,0.5696932681242303,0.24022217703500515,0.6717232746763512,0.38611111111111107,0.5555555555555556,0.5837664605777241,6.0,7.1075,0.0,0.0,,0.09500630002003163,2,baseline,generative,reference approach plus the same verification loop,,1841.887853400025,201142.0,
heuristic,3200.0,0.7625,3200.0,0.826875,3200.0,0.755,0.0,2416.0,0.9652317880794702,2416.0,0.808038808038808,2886.0,0.879668049792531,0.7510520749208531,2886.0,1.0,314.0,0.8371448371448371,0.0,211.0,0.933649289099526,0.7947663551401869,2675.0,0.0315625,0.9652317880794702,2416.0,0.967055521244162,2416.0,0.967784216335541,2416.0,0.8371448371448371,2886.0,0.1404153684571337,0.1365522337992971,0.5428295136927579,0.0846436147502875,0.4284988159215629,0.0208736839922533,0.6703524462958426,0.8388892673044557,2416.0,0.2725,0.2525,0.7775,0.9517684887459807,6.41342729999451,0,baseline,heuristic,"label synonyms + geometry, best of six on validation",row_only,,,
heuristic,3200.0,0.758125,3200.0,0.8234375,3200.0,0.75625,0.0,2420.0,0.9706611570247934,2420.0,0.806108442004118,2914.0,0.8807649043869517,0.7438452027111238,2914.0,1.0,286.0,0.8304735758407688,0.0,214.0,0.9392523364485982,0.7925925925925926,2700.0,0.0384375,0.9706611570247934,2420.0,0.9722845641511006,2420.0,0.9728650137741048,2420.0,0.8304735758407688,2914.0,0.1437122482592712,0.1428858019782794,0.5513223323297521,0.0824794354359356,0.4023597751001788,0.0142853213488196,0.6710617044112268,0.8393456029803982,2420.0,0.3375,0.3075,0.835,0.934131736526946,11.866528499987908,1,baseline,heuristic,"label synonyms + geometry, best of six on validation",row_only,,,
heuristic,3200.0,0.7571875,3200.0,0.8228125,3200.0,0.7615625,0.0,2437.0,0.9655313910545753,2437.0,0.8058219178082192,2920.0,0.8784767593802503,0.7480583845351887,2920.0,1.0,280.0,0.8345890410958904,0.0,215.0,0.9255813953488372,0.7922365988909427,2705.0,0.04,0.9655313910545753,2437.0,0.9677131469135514,2437.0,0.968130214744905,2437.0,0.8345890410958904,2920.0,0.14035921728328024,0.14035921728328032,0.5513945123123056,0.08470095156511609,0.47687200110683536,0.02055481492094654,0.6486805091777468,0.8432271594093746,2437.0,0.345,0.32,0.775,0.9258064516129032,8.464680700039025,2,baseline,heuristic,"label synonyms + geometry, best of six on validation",row_only,,,
llm_stub,3200.0,0.7565625,3200.0,0.7565625,3200.0,0.7459375,0.0,2387.0,0.8826979472140762,2387.0,0.7300762300762301,2886.0,0.7991655604020481,0.7464738211061741,2886.0,1.0,314.0,0.8270963270963271,0.7298578199052133,211.0,0.7298578199052133,0.7300934579439252,2675.0,0.0,,0.0,,0.0,,0.0,0.0,2886.0,,,,,,,,,0.0,0.0,0.0,0.0,,0.8368139999802224,0,baseline,llm,"offline deterministic stub; token-cost arm, not a real provider",,,,1098.5925
