arm,seed,family,strict_accuracy,canonical_accuracy,coverage,grounding_exact,grounding_iou,hallucination_rate
generative,0,reference,0.049375,0.049375,0.8909375,,,0.9985969835145564
generative,1,reference,0.05125,0.05125,0.874375,,,0.9992852037169406
generative,2,reference,0.0425,0.0425,0.8903125,,,0.997893997893998
generative_verify,0,baseline,0.09875,0.09875,0.00125,,,0.0
generative_verify,1,baseline,0.0896875,0.0896875,0.000625,,,0.0
generative_verify,2,baseline,0.0884375,0.0884375,0.001875,,,0.0
heuristic,0,baseline,0.7625,0.826875,0.755,0.9652317880794702,0.967055521244162,0.0
heuristic,1,baseline,0.758125,0.8234375,0.75625,0.9706611570247934,0.9722845641511006,0.0
heuristic,2,baseline,0.7571875,0.8228125,0.7615625,0.9655313910545752,0.9677131469135514,0.0
llm_stub,0,baseline,0.7565625,0.7565625,0.7459375,,,0.0
llm_stub,1,baseline,0.756875,0.756875,0.744375,,,0.0
llm_stub,2,baseline,0.75875,0.75875,0.7596875,,,0.0
span_only,0,ablation,0.8759375,0.939375,0.91625,0.9623168178646196,0.9651088380116568,0.0
span_only,1,ablation,0.8765625,0.939375,0.9259375,0.9664359861591696,0.9690138031052682,0.0
span_only,2,ablation,0.8928125,0.954375,0.9225,0.9710843373493976,0.974981916478526,0.0
span_verify,0,ours,0.8825,0.94875,0.8640625,0.9909288824383164,0.9910627147334182,0.0
span_verify,1,ours,0.8846875,0.9490625,0.8759375,0.9935391241923904,0.993590183590563,0.0
span_verify,2,ours,0.8990625,0.9659375,0.8915625,0.993664202745512,0.9938029673935358,0.0
span_verify_norm,0,ours,0.948125,0.94875,0.8640625,0.9909288824383164,0.9910627147334182,0.0
span_verify_norm,1,ours,0.9490625,0.9490625,0.8759375,0.9935391241923904,0.993590183590563,0.0
span_verify_norm,2,ours,0.965,0.9659375,0.8915625,0.993664202745512,0.9938029673935358,0.0
