arm,metric,n_seeds,mean,sd,noise_scale,min,max
generative,canonical_accuracy,3,0.04770833333333333,0.004606946747394994,0.006515206571296618,0.0425,0.05125
generative_verify,canonical_accuracy,3,0.09229166666666666,0.005627892774683376,0.00795904228953878,0.0884375,0.09875
heuristic,canonical_accuracy,3,0.824375,0.002187500000000025,0.003093592167691181,0.8228125,0.826875
llm_stub,canonical_accuracy,3,0.7573958333333334,0.0011831059053750757,0.0016731644171051319,0.7565625,0.75875
span_only,canonical_accuracy,3,0.944375,0.008660254037844395,0.012247448713915903,0.939375,0.954375
span_verify,canonical_accuracy,3,0.9545833333333333,0.009834238129277393,0.013907712938030704,0.94875,0.9659375
span_verify_norm,canonical_accuracy,3,0.9545833333333333,0.009834238129277393,0.013907712938030704,0.94875,0.9659375
generative,coverage,3,0.8852083333333334,0.009387144911171512,0.013275427645340334,0.874375,0.8909375
generative_verify,coverage,3,0.00125,0.000625,0.0008838834764831845,0.000625,0.001875
heuristic,coverage,3,0.7576041666666667,0.0034845268090995477,0.004927865071881226,0.755,0.7615625
llm_stub,coverage,3,0.75,0.008425917976695445,0.011916047478085967,0.744375,0.7596875
span_only,coverage,3,0.9215625,0.004911323014219265,0.006945659615903994,0.91625,0.9259375
span_verify,coverage,3,0.8771875000000001,0.013792547806696233,0.0195056081679091,0.8640625,0.8915625
span_verify_norm,coverage,3,0.8771875000000001,0.013792547806696233,0.0195056081679091,0.8640625,0.8915625
generative,grounding_exact,0,,,,,
generative_verify,grounding_exact,0,,,,,
heuristic,grounding_exact,3,0.9671414453862797,0.0030518384622043888,0.004315951343421297,0.9652317880794702,0.9706611570247934
llm_stub,grounding_exact,0,,,,,
span_only,grounding_exact,3,0.9666123804577289,0.004386420601175108,0.006203335504454583,0.9623168178646196,0.9710843373493976
span_verify,grounding_exact,3,0.9927107364587396,0.0015443976086767501,0.002184108043887236,0.9909288824383164,0.993664202745512
span_verify_norm,grounding_exact,3,0.9927107364587396,0.0015443976086767501,0.002184108043887236,0.9909288824383164,0.993664202745512
generative,grounding_iou,0,,,,,
generative_verify,grounding_iou,0,,,,,
heuristic,grounding_iou,3,0.9690177441029381,0.0028481929008702836,0.004027953028665524,0.967055521244162,0.9722845641511006
llm_stub,grounding_iou,0,,,,,
span_only,grounding_iou,3,0.9697015191984836,0.004972336942715105,0.007031946341076473,0.9651088380116568,0.974981916478526
span_verify,grounding_iou,3,0.9928186219058389,0.0015243774910831335,0.0021557953220660395,0.9910627147334182,0.9938029673935358
span_verify_norm,grounding_iou,3,0.9928186219058389,0.0015243774910831335,0.0021557953220660395,0.9910627147334182,0.9938029673935358
generative,strict_accuracy,3,0.04770833333333333,0.004606946747394994,0.006515206571296618,0.0425,0.05125
generative_verify,strict_accuracy,3,0.09229166666666666,0.005627892774683376,0.00795904228953878,0.0884375,0.09875
heuristic,strict_accuracy,3,0.7592708333333333,0.0028355536643366683,0.004010078448941644,0.7571875,0.7625
llm_stub,strict_accuracy,3,0.7573958333333334,0.0011831059053750757,0.0016731644171051319,0.7565625,0.75875
span_only,strict_accuracy,3,0.8817708333333334,0.00956746875267085,0.013530444067607917,0.8759375,0.8928125
span_verify,strict_accuracy,3,0.8887499999999999,0.008997612530554998,0.012724545669688983,0.8825,0.8990625
span_verify_norm,strict_accuracy,3,0.9540625,0.009483744315933424,0.0134120398336718,0.948125,0.965
