arm,reference,metric,value,reference_value,delta,noise_scale,ratio_to_noise,verdict
generative_verify,generative,strict_accuracy,0.09229166666666666,0.04770833333333333,0.04458333333333333,0.00795904228953878,5.601595231116293,robust
heuristic,generative,strict_accuracy,0.7592708333333333,0.04770833333333333,0.7115625,0.006515206571296618,109.21564684301161,robust
llm_stub,generative,strict_accuracy,0.7573958333333334,0.04770833333333333,0.7096875,0.006515206571296618,108.92785857728563,robust
span_only,generative,strict_accuracy,0.8817708333333334,0.04770833333333333,0.8340625,0.013530444067607917,61.64339439507074,robust
span_verify,generative,strict_accuracy,0.8887499999999999,0.04770833333333333,0.8410416666666666,0.012724545669688983,66.09600755098893,robust
span_verify_norm,generative,strict_accuracy,0.9540625,0.04770833333333333,0.9063541666666667,0.0134120398336718,67.57765246053069,robust
generative_verify,generative,canonical_accuracy,0.09229166666666666,0.04770833333333333,0.04458333333333333,0.00795904228953878,5.601595231116293,robust
heuristic,generative,canonical_accuracy,0.824375,0.04770833333333333,0.7766666666666666,0.006515206571296618,119.20829495849723,robust
llm_stub,generative,canonical_accuracy,0.7573958333333334,0.04770833333333333,0.7096875,0.006515206571296618,108.92785857728563,robust
span_only,generative,canonical_accuracy,0.944375,0.04770833333333333,0.8966666666666666,0.012247448713915903,73.21252675651935,robust
span_verify,generative,canonical_accuracy,0.9545833333333333,0.04770833333333333,0.906875,0.013907712938030704,65.20662340679654,robust
span_verify_norm,generative,canonical_accuracy,0.9545833333333333,0.04770833333333333,0.906875,0.013907712938030704,65.20662340679654,robust
generative_verify,generative,coverage,0.00125,0.8852083333333334,-0.8839583333333334,0.013275427645340334,66.58605334221396,robust
heuristic,generative,coverage,0.7576041666666667,0.8852083333333334,-0.12760416666666663,0.013275427645340334,9.61205695783786,robust
llm_stub,generative,coverage,0.75,0.8852083333333334,-0.13520833333333337,0.013275427645340334,10.184857086753917,robust
span_only,generative,coverage,0.9215625,0.8852083333333334,0.036354166666666576,0.013275427645340334,2.738455410845229,survives
span_verify,generative,coverage,0.8771875000000001,0.8852083333333334,-0.008020833333333255,0.0195056081679091,0.4112065240051957,inside noise
span_verify_norm,generative,coverage,0.8771875000000001,0.8852083333333334,-0.008020833333333255,0.0195056081679091,0.4112065240051957,inside noise
generative_verify,generative,grounding_exact,,,,,,unknown
heuristic,generative,grounding_exact,0.9671414453862797,,,0.004315951343421297,,unknown
llm_stub,generative,grounding_exact,,,,,,unknown
span_only,generative,grounding_exact,0.9666123804577289,,,0.006203335504454583,,unknown
span_verify,generative,grounding_exact,0.9927107364587396,,,0.002184108043887236,,unknown
span_verify_norm,generative,grounding_exact,0.9927107364587396,,,0.002184108043887236,,unknown
generative_verify,generative,grounding_iou,,,,,,unknown
heuristic,generative,grounding_iou,0.9690177441029381,,,0.004027953028665524,,unknown
llm_stub,generative,grounding_iou,,,,,,unknown
span_only,generative,grounding_iou,0.9697015191984836,,,0.007031946341076473,,unknown
span_verify,generative,grounding_iou,0.992818621905839,,,0.0021557953220660395,,unknown
span_verify_norm,generative,grounding_iou,0.992818621905839,,,0.0021557953220660395,,unknown
