arm,reference,metric,value,reference_value,delta,noise_scale,ratio_to_noise,verdict
generative,heuristic,strict_accuracy,0.04770833333333333,0.7592708333333333,-0.7115625,0.006515206571296618,109.21564684301161,robust
generative_verify,heuristic,strict_accuracy,0.09229166666666666,0.7592708333333333,-0.6669791666666667,0.00795904228953878,83.80143519821875,robust
llm_stub,heuristic,strict_accuracy,0.7573958333333334,0.7592708333333333,-0.00187499999999996,0.004010078448941644,0.46757190011951455,inside noise
span_only,heuristic,strict_accuracy,0.8817708333333334,0.7592708333333333,0.12250000000000005,0.013530444067607917,9.053657026177497,robust
span_verify,heuristic,strict_accuracy,0.8887499999999999,0.7592708333333333,0.1294791666666666,0.012724545669688983,10.175543396814367,robust
span_verify_norm,heuristic,strict_accuracy,0.9540625,0.7592708333333333,0.1947916666666667,0.0134120398336718,14.52364212173226,robust
generative,heuristic,canonical_accuracy,0.04770833333333333,0.824375,-0.7766666666666666,0.006515206571296618,119.20829495849723,robust
generative_verify,heuristic,canonical_accuracy,0.09229166666666666,0.824375,-0.7320833333333333,0.00795904228953878,91.98133477636755,robust
llm_stub,heuristic,canonical_accuracy,0.7573958333333334,0.824375,-0.06697916666666659,0.003093592167691181,21.65093620490211,robust
span_only,heuristic,canonical_accuracy,0.944375,0.824375,0.12,0.012247448713915903,9.797958971132703,robust
span_verify,heuristic,canonical_accuracy,0.9545833333333333,0.824375,0.13020833333333337,0.013907712938030704,9.362310964679038,robust
span_verify_norm,heuristic,canonical_accuracy,0.9545833333333333,0.824375,0.13020833333333337,0.013907712938030704,9.362310964679038,robust
generative,heuristic,coverage,0.8852083333333334,0.7576041666666667,0.12760416666666663,0.013275427645340334,9.61205695783786,robust
generative_verify,heuristic,coverage,0.00125,0.7576041666666667,-0.7563541666666668,0.004927865071881226,153.48516155251113,robust
llm_stub,heuristic,coverage,0.75,0.7576041666666667,-0.007604166666666745,0.011916047478085967,0.6381450460524831,inside noise
span_only,heuristic,coverage,0.9215625,0.7576041666666667,0.1639583333333332,0.006945659615903994,23.60586933426821,robust
span_verify,heuristic,coverage,0.8771875000000001,0.7576041666666667,0.11958333333333337,0.0195056081679091,6.130715448804798,robust
span_verify_norm,heuristic,coverage,0.8771875000000001,0.7576041666666667,0.11958333333333337,0.0195056081679091,6.130715448804798,robust
generative,heuristic,grounding_exact,,0.9671414453862797,,0.004315951343421297,,unknown
generative_verify,heuristic,grounding_exact,,0.9671414453862797,,0.004315951343421297,,unknown
llm_stub,heuristic,grounding_exact,,0.9671414453862797,,0.004315951343421297,,unknown
span_only,heuristic,grounding_exact,0.9666123804577289,0.9671414453862797,-0.0005290649285507598,0.006203335504454583,0.08528716980902307,inside noise
span_verify,heuristic,grounding_exact,0.9927107364587396,0.9671414453862797,0.025569291072459976,0.004315951343421297,5.924369632070724,robust
span_verify_norm,heuristic,grounding_exact,0.9927107364587396,0.9671414453862797,0.025569291072459976,0.004315951343421297,5.924369632070724,robust
generative,heuristic,grounding_iou,,0.9690177441029381,,0.004027953028665524,,unknown
generative_verify,heuristic,grounding_iou,,0.9690177441029381,,0.004027953028665524,,unknown
llm_stub,heuristic,grounding_iou,,0.9690177441029381,,0.004027953028665524,,unknown
span_only,heuristic,grounding_iou,0.9697015191984836,0.9690177441029381,0.0006837750955455135,0.007031946341076473,0.09723838356833067,inside noise
span_verify,heuristic,grounding_iou,0.992818621905839,0.9690177441029381,0.023800877802900966,0.004027953028665524,5.908926353787767,robust
span_verify_norm,heuristic,grounding_iou,0.992818621905839,0.9690177441029381,0.023800877802900966,0.004027953028665524,5.908926353787767,robust
