arm,reference,metric,value,reference_value,delta,noise_scale,ratio_to_noise,verdict
generative,span_only,strict_accuracy,0.04770833333333333,0.8817708333333334,-0.8340625,0.013530444067607917,61.64339439507074,robust
generative_verify,span_only,strict_accuracy,0.09229166666666666,0.8817708333333334,-0.7894791666666667,0.013530444067607917,58.348355953570774,robust
heuristic,span_only,strict_accuracy,0.7592708333333333,0.8817708333333334,-0.12250000000000005,0.013530444067607917,9.053657026177497,robust
llm_stub,span_only,strict_accuracy,0.7573958333333334,0.8817708333333334,-0.12437500000000001,0.013530444067607917,9.192233409231232,robust
span_verify,span_only,strict_accuracy,0.8887499999999999,0.8817708333333334,0.006979166666666536,0.013530444067607917,0.5158120924777897,inside noise
span_verify_norm,span_only,strict_accuracy,0.9540625,0.8817708333333334,0.07229166666666664,0.013530444067607917,5.342889435516308,robust
generative,span_only,canonical_accuracy,0.04770833333333333,0.944375,-0.8966666666666666,0.012247448713915903,73.21252675651935,robust
generative_verify,span_only,canonical_accuracy,0.09229166666666666,0.944375,-0.8520833333333333,0.012247448713915903,69.57231283321659,robust
heuristic,span_only,canonical_accuracy,0.824375,0.944375,-0.12,0.012247448713915903,9.797958971132703,robust
llm_stub,span_only,canonical_accuracy,0.7573958333333334,0.944375,-0.18697916666666659,0.012247448713915903,15.266785028804854,robust
span_verify,span_only,canonical_accuracy,0.9545833333333333,0.944375,0.010208333333333375,0.013907712938030704,0.7340051796308393,inside noise
span_verify_norm,span_only,canonical_accuracy,0.9545833333333333,0.944375,0.010208333333333375,0.013907712938030704,0.7340051796308393,inside noise
generative,span_only,coverage,0.8852083333333334,0.9215625,-0.036354166666666576,0.013275427645340334,2.738455410845229,survives
generative_verify,span_only,coverage,0.00125,0.9215625,-0.9203125,0.006945659615903994,132.5018142110926,robust
heuristic,span_only,coverage,0.7576041666666667,0.9215625,-0.1639583333333332,0.006945659615903994,23.60586933426821,robust
llm_stub,span_only,coverage,0.75,0.9215625,-0.17156249999999995,0.011916047478085967,14.397601244499022,robust
span_verify,span_only,coverage,0.8771875000000001,0.9215625,-0.04437499999999983,0.0195056081679091,2.27498674319759,survives
span_verify_norm,span_only,coverage,0.8771875000000001,0.9215625,-0.04437499999999983,0.0195056081679091,2.27498674319759,survives
generative,span_only,grounding_exact,,0.9666123804577289,,0.006203335504454583,,unknown
generative_verify,span_only,grounding_exact,,0.9666123804577289,,0.006203335504454583,,unknown
heuristic,span_only,grounding_exact,0.9671414453862797,0.9666123804577289,0.0005290649285507598,0.006203335504454583,0.08528716980902307,inside noise
llm_stub,span_only,grounding_exact,,0.9666123804577289,,0.006203335504454583,,unknown
span_verify,span_only,grounding_exact,0.9927107364587396,0.9666123804577289,0.026098356001010736,0.006203335504454583,4.2071488769662135,robust
span_verify_norm,span_only,grounding_exact,0.9927107364587396,0.9666123804577289,0.026098356001010736,0.006203335504454583,4.2071488769662135,robust
generative,span_only,grounding_iou,,0.9697015191984836,,0.007031946341076473,,unknown
generative_verify,span_only,grounding_iou,,0.9697015191984836,,0.007031946341076473,,unknown
heuristic,span_only,grounding_iou,0.9690177441029381,0.9697015191984836,-0.0006837750955455135,0.007031946341076473,0.09723838356833067,inside noise
llm_stub,span_only,grounding_iou,,0.9697015191984836,,0.007031946341076473,,unknown
span_verify,span_only,grounding_iou,0.992818621905839,0.9697015191984836,0.023117102707355452,0.007031946341076473,3.28744014616821,robust
span_verify_norm,span_only,grounding_iou,0.992818621905839,0.9697015191984836,0.023117102707355452,0.007031946341076473,3.28744014616821,robust
